world_rank,university_name,country,continent,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,female
351-400,University of South Dakota,United States of America,North_America,29.3,17.1,12.1,70.4,28.0,35.5,8003.0,17.1,2.0,61 : 39,61.0
351-400,State University of Campinas,Brazil,South_America,44.6,21.1,42.3,22.6,49.4,35.7,27095.0,15.3,3.0,48 : 52,48.0
351-400,University of Stirling,United Kingdom,Europe,22.6,77.7,23.5,59.1,30.4,38.1,7828.0,15.9,22.0,61 : 39,61.0
351-400,Sun Yat-sen University,China,Asia,31.9,37.0,24.6,45.7,79.4,35.4,51351.0,16.6,8.0,51 : 49,51.0
351-400,Swansea University,United Kingdom,Europe,22.2,72.4,23.8,58.2,32.7,37.5,12801.0,17.1,20.0,49 : 51,49.0
351-400,Swinburne University of Technology,Australia,Oceania,21.5,84.8,20.2,53.4,32.2,35.7,20314.0,36.5,33.0,44 : 56,44.0
351-400,University of Tartu,Estonia,Europe,23.8,46.1,22.8,64.2,31.5,37.5,10269.0,13.0,3.0,66 : 34,66.0
351-400,Temple University,United States of America,North_America,34.0,28.6,18.2,58.3,41.6,36.3,33268.0,13.3,5.0,51 : 49,51.0
351-400,University of Texas at San Antonio,United States of America,North_America,18.1,29.6,16.6,74.9,28.6,35.8,27520.0,26.9,6.0,48 : 52,48.0
351-400,UiT The Arctic University of Norway,Norway,Europe,26.5,66.1,18.7,58.8,36.8,37.1,10398.0,12.2,10.0,60 : 40,60.0
351-400,Université Libre de Bruxelles,Belgium,Europe,26.1,84.5,28.3,47.9,39.1,38.0,23819.0,26.1,32.0,54 : 46,54.0
351-400,Lille 2 University – Health and Law,France,Europe,15.1,39.4,9.5,81.7,31.5,35.6,26894.0,38.5,8.0,58 : 42,58.0
351-400,University College Cork,Republic of Ireland,Europe,28.6,75.5,23.8,48.4,47.1,37.1,15805.0,22.3,15.0,55 : 45,55.0
351-400,Verona University,Italy,Europe,23.6,38.3,13.1,76.1,36.6,37.6,25250.0,19.7,7.0,65 : 35,65.0
351-400,Victoria University of Wellington,New Zealand,Oceania,26.0,88.8,28.7,44.3,45.6,37.5,17142.0,21.1,21.0,55 : 45,55.0
351-400,Washington State University,United States of America,North_America,29.0,39.6,28.2,49.6,57.1,36.4,24550.0,18.3,7.0,50 : 50,50.0
351-400,Wayne State University,United States of America,North_America,31.9,29.6,14.2,65.3,41.7,36.7,23065.0,10.7,7.0,57 : 43,57.0
401-500,American University,United States of America,North_America,42.2,28.9,16.5,41.1,35.9,33.0,11604.0,12.0,12.0,60 : 40,60.0
401-500,Aston University,United Kingdom,Europe,18.4,92.5,20.4,51.9,34.6,35.0,,,,,
401-500,University of Aveiro,Portugal,Europe,24.8,45.9,26.5,43.6,40.1,32.9,10791.0,17.8,10.0,51 : 49,51.0
